age 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
0 53175 54333 55113 53995 53618 53304 51513 52935 54228 57422 62050 62378 62766 61706 56854 54602 55464 57559 57702 55821 56142 52862 50402 49337 47585 49137 49623 48016 47658 47204 48140 50558 52177 53345 57645 59530 63526 63469 63013 59979 57173 53020 48505 46320 46011 45309 46764 47214 49275 51138 52037 52135 54684 55427 56528 57720 59496
1 55559 53118 54273 55142 53946 53503 53373 51581 52880 54224 57631 62392 62529 62785 61812 58036 55662 55975 58138 57175 56044 56587 53396 50863 49622 47868 49484 49944 48233 47879 47478 48540 50965 52593 53779 58123 59978 63840 63809 63198 60098 57319 53175 48628 46514 46291 45641 47187 47631 49687 51460 52476 52730 55242 56162 57188 58366
2 55427 55614 53157 54422 55130 53902 53523 53458 51594 52903 54443 57921 62591 62590 62615 62390 58614 55694 55793 58027 57311 56323 56893 53634 50940 49702 47969 49457 49907 48214 48020 47635 48828 51222 52937 54177 58522 60241 63944 64062 63472 60036 57348 53142 48735 46652 46503 45911 47449 47852 49910 51641 52925 53140 55789 56635 57606
3 55345 55467 55652 53281 54432 55056 53867 53553 53477 51653 53086 54723 58116 62512 62722 63195 62877 58613 55498 55674 58104 57532 56500 57090 53710 51014 49729 47965 49426 49904 48285 48142 47783 48996 51491 53401 54508 58791 60443 64275 64791 63492 59983 57334 53185 48893 46902 46749 46190 47680 48059 50081 52057 53368 53638 56210 56944
4 58158 55384 55516 55732 53273 54384 55103 53930 53553 53513 51798 53352 54877 58124 62522 63150 63521 62885 58247 55362 55737 58261 57718 56672 57133 53719 51080 49716 47952 49414 50005 48367 48313 48020 49278 51917 53796 54750 58980 60773 65005 64813 63405 59976 57403 53295 49080 47174 47047 46438 47877 48207 50472 52417 53870 54073 56519
5 60737 58235 55419 55634 55737 53262 54376 55172 53949 53576 53640 52020 53507 54913 58126 62940 63484 63446 62620 58061 55418 55846 58415 57900 56701 57204 53737 51051 49726 47899 49453 50055 48540 48558 48351 49696 52256 54019 54942 59316 61506 65071 64814 63391 60020 57477 53464 49297 47404 47322 46626 48036 48506 50809 52819 54261 54366
6 63024 60765 58257 55534 55615 55695 53215 54429 55205 53957 53716 53800 52155 53478 54884 58480 63193 63384 63222 62423 58051 55448 55972 58571 57866 56745 57159 53691 50988 49694 47910 49492 50217 48760 48804 48723 50039 52570 54222 55299 59994 61600 65063 64866 63472 60109 57625 53704 49544 47587 47510 46782 48509 48946 51221 53193 54549
7 64371 63078 60793 58356 55556 55571 55682 53209 54427 55222 54062 53855 53919 52153 53662 55180 58752 63095 63157 62973 62331 58113 55518 56044 58561 57807 56620 57070 53566 50927 49725 47921 49566 50369 49042 49162 49065 50313 52725 54543 55970 60069 61649 65166 64955 63588 60277 57797 53918 49748 47765 47628 47110 48864 49360 51641 53547
8 66251 64404 63131 60846 58379 55526 55513 55714 53226 54440 55315 54202 53935 53959 52196 53989 55431 58670 62925 63027 62984 62402 58201 55637 56044 58524 57773 56554 57001 53553 50949 49772 48048 49744 50582 49397 49443 49348 50536 53079 55250 56047 60112 61729 65268 65113 63755 60499 58034 54127 49940 47971 48009 47516 49307 49753 51884
9 66696 66273 64432 63225 60863 58354 55438 55536 55739 53258 54539 55428 54305 53949 53991 52470 54231 55414 58550 62763 63025 63053 62486 58321 55666 56043 58466 57731 56493 56956 53572 50987 49860 48195 49946 50943 49728 49708 49538 50926 53726 55332 56090 60211 61853 65406 65302 63980 60706 58274 54321 50044 48357 48396 47970 49726 50102
10 66510 66720 66327 64535 63258 60842 58194 55492 55552 55752 53341 54644 55511 54313 53968 54237 52704 54224 55317 58469 62766 63135 63155 62582 58337 55675 56020 58405 57639 56444 57005 53608 51060 50023 48430 50306 51213 49942 49941 49872 51525 53850 55415 56233 60372 61972 65588 65488 64210 60944 58481 54481 50436 48776 48790 48339 50016
11 62119 66537 66752 66422 64558 63244 60725 58235 55502 55559 55823 53453 54715 55592 54369 54217 54485 52742 54141 55261 58501 62840 63237 63284 62595 58339 55667 55977 58351 57619 56471 57039 53704 51245 50211 48756 50558 51481 50099 50273 50458 51619 53934 55559 56365 60506 62175 65854 65720 64393 61124 58658 54929 50878 49197 49239 48645
12 56890 62125 66561 66804 66449 64551 63116 60756 58232 55503 55640 55949 53553 54729 55623 54612 54417 54497 52705 54076 55306 58580 63019 63334 63316 62578 58311 55656 55943 58336 57665 56530 57149 53830 51458 50499 48979 50790 51673 50405 50824 50536 51697 54074 55737 56490 60765 62407 66135 65920 64585 61303 59025 55344 51329 49596 49552
13 49439 56869 62157 66596 66811 66450 64322 63154 60749 58246 55570 55739 56028 53585 54736 55841 54857 54444 54441 52663 54113 55400 58681 63139 63360 63355 62559 58312 55634 55938 58349 57732 56631 57264 53975 51726 50755 49163 50959 51976 50896 50913 50586 51812 54188 55876 56697 61039 62678 66380 66113 64765 61708 59407 55769 51849 49897
14 47522 49464 56878 62199 66630 66807 66179 64325 63177 60770 58332 55670 55819 56052 53674 54976 56093 54867 54408 54405 52695 54198 55481 58772 63142 63376 63373 62553 58281 55621 56004 58407 57839 56820 57421 54292 51913 50912 49374 51224 52492 50971 50977 50708 51960 54329 56080 56953 61290 62910 66551 66293 65166 62045 59919 56215 52223
15 48049 47552 49495 56951 62234 66636 66931 66241 64362 63192 60846 58469 55777 55844 56078 53897 55304 56147 54826 54344 54448 52729 54256 55558 58792 63175 63396 63372 62578 58296 55680 56092 58533 58027 57008 57701 54503 52113 51081 49618 51697 52591 51015 51156 50854 52138 54532 56322 57198 61546 63125 66740 66672 65580 62549 60461 56659
